"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ascochyta",3.59191528144038,-0.947345923684918,0.804087580064304,-1.17816261209899,0.238731784656123,0.581531165910861
"Cenococcum",1.84558751420627,-0.495352066739943,0.582553062919596,-0.850312354822022,0.395151449460386,0.710837978811256
"Candida",352.164471515189,0.072867510222131,0.855809880179013,0.085144506869784,0.932146507385467,0.981389679502667
"Saccharomyces",433.646818069303,-4.55532666399965,0.96546999960874,-4.71824776103422,2.37884676565638e-06,4.50706503278824e-05
"Cryptococcus",1.83582489846513,-0.649799666419764,0.695511179748769,-0.934276378784426,0.350161345690633,0.663430692460288
"Malassezia",9.92602885448247,-0.949596712597627,0.757115291422128,-1.25423000084168,0.209758418316984,0.550568832303673
"Puccinia",1.92579799137115,-0.309685032878466,0.732333981346738,-0.422874044857192,0.672387160652853,0.885159568838349
"Rhizopus",2.05918974863875,-2.00483557860542,0.76843659759654,-2.60897982328795,0.00908125966986774,0.0581155112532625
"Phycomyces",2.28777394388163,-0.492262550008985,0.684950267685562,-0.7186836376783,0.472335867127899,0.773377091084415
"Rhizophagus",6.8384064531221,-0.889355840579863,0.454951373345343,-1.95483713795666,0.0506022961800543,0.222776084012604
"Enterocytozoon",27.8203644756978,1.52707678048569,0.61176159917458,2.49619587523326,0.0125533261728473,0.073994883718839
"Edhazardia",2.6717008671239,-1.09522086236213,0.628324246782663,-1.74308228270708,0.081319242939988,0.313230700533487
"Anncaliia",1.81480795487067,-0.327875826289049,0.702511315698169,-0.466719637054101,0.640700478417316,0.874038138344304
"Cystoisospora",4.29043661799539,0.584523231897014,0.710491651037681,0.822702463911168,0.410677213840731,0.725005863369411
"Toxoplasma",20.6484908991236,1.60914310686964,0.55287860582836,2.91048177648095,0.00360872010693388,0.0285735226377376
"Sarcocystis",2.14249435337377,-0.439942446112419,0.630177969675361,-0.698124128869591,0.485099569524714,0.782204625023892
"Eimeria",6.21008120107225,0.261735119769749,0.482030195879742,0.542984904279829,0.587140196129767,0.854046285365558
"Cryptosporidium",11.5859743871066,-1.40228773335935,0.620141117025188,-2.2612397321534,0.0237444159765059,0.126597112316949
"Plasmodium",20.4872547009006,-0.445639862605935,0.388223076641468,-1.14789637561266,0.251011344607948,0.593818820050607
"Chromera",5.83222825724878,-0.493727710702025,0.501639886075201,-0.984227379853941,0.325003726406993,0.648640428137089
"Phytophthora",10.5787160787016,0.178802448533031,0.560485074014769,0.319013755803102,0.749716081734116,0.913259199448791
"Globisporangium",4.14015578489493,0.830495815301958,0.539191208606016,1.5402621594092,0.123496463635985,0.408192361114581
"Saprolegnia",2.72294636829962,0.0740377225331346,0.810818750244353,0.0913122969971059,0.927244447219426,0.980924204632642
"Albugo",1.8617179770639,-0.988563201875058,1.22947788433386,-0.804051227331078,0.42136739043052,0.730995713879848
"Leishmania",6.02158299429256,0.920770618632238,0.544260701198348,1.69178229588301,0.0906874904056948,0.332939194880423
"Leptomonas",1.88283497045036,-0.551309761908,0.643873745928294,-0.856238921674246,0.391865637834592,0.709954817276404
"Trypanosoma",4.73881004803358,-0.623072108991559,0.444584030055816,-1.40147208821994,0.161072948490236,0.473402765507315
"Entamoeba",11.7679782569982,0.547613307868316,0.530755540846271,1.03176182955182,0.3021837046779,0.634069450108068
